count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
80900,2018,7,"East of England",129,Peterborough,A47,Major,A47,"MARHOLM ROAD",513700,298510,52.57253600,-0.32371799,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",0,13,1784,14,235,8,5,0,1,1,0,16,2062
36221,2018,7,"East of England",129,Peterborough,A15,Major,"Phorpres Way roundabout",A1129,518800,296700,52.55518300,-0.24914952,1.50,0.93,Estimated,"Estimated using previous year's AADF on this link",173,34,5074,61,718,64,6,7,0,1,1,79,5966
81587,2018,7,"East of England",129,Peterborough,A16,Major,"LA Boundary",A47,521439,303577,52.61639400,-0.20772584,7.00,4.35,Estimated,"Estimated using previous year's AADF on this link",1,66,11130,28,2076,271,63,62,74,601,918,1988,15288
56220,2018,7,"East of England",129,Peterborough,A15,Major,"Bishop's Road roundabout",A1179,519000,298400,52.57041500,-0.24559162,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",214,218,19782,555,2513,189,37,19,18,13,9,284,23352
73849,2019,7,"East of England",129,Peterborough,A1,Major,"A43 Worthorpe","LA Boundary",502100,305660,52.63908900,-0.49261073,0.30,0.19,Counted,"Dependent on a neighbouring counted link",0,196,38937,102,8637,1104,236,365,235,2415,4072,8427,56299
77182,2018,7,"East of England",129,Peterborough,A15,Major,A47,"David's Lane roundabout",517000,302480,52.60751000,-0.27364662,3.10,1.93,Estimated,"Estimated using previous year's AADF on this link",35,178,21438,130,2880,305,15,14,19,54,25,432,25058
802534,2018,7,"East of England",129,Peterborough,U,Minor,,,517741,305472,52.63423500,-0.26164456,,,Counted,"Manual count",0,0,400,0,74,0,0,0,0,0,0,0,474
805538,2018,7,"East of England",129,Peterborough,B1167,Minor,,,532698,308855,52.66118300,-0.03940725,,,Counted,"Manual count",5,9,1336,8,314,16,8,3,0,0,4,31,1697
802532,2018,7,"East of England",129,Peterborough,U,Minor,,,523162,308248,52.65797700,-0.18054951,,,Counted,"Manual count",0,0,45,0,21,0,0,0,0,2,0,2,69
805789,2018,7,"East of England",129,Peterborough,U,Minor,,,505403,302372,52.60891100,-0.44486626,,,Counted,"Manual count",28,5,1192,20,147,10,2,1,0,0,0,13,1378
