Area,mnemonic,Employees,Employment
lsoa2011:South Cambridgeshire 006D,E01018260,3000,3000
lsoa2011:South Cambridgeshire 006F,E01018262,45,50
lsoa2011:South Cambridgeshire 006G,E01033120,125,150
lsoa2011:South Cambridgeshire 006H,E01033121,175,175
lsoa2011:South Cambridgeshire 007A,E01018272,500,500
lsoa2011:South Cambridgeshire 007B,E01018273,900,1000
lsoa2011:South Cambridgeshire 007C,E01018274,9000,9000
lsoa2011:South Cambridgeshire 007D,E01018297,1250,1250
lsoa2011:South Cambridgeshire 009A,E01018224,600,600
lsoa2011:South Cambridgeshire 009B,E01018225,350,400
lsoa2011:South Cambridgeshire 009C,E01018248,600,600
lsoa2011:South Cambridgeshire 009D,E01018249,400,400
lsoa2011:South Cambridgeshire 009E,E01018250,50,50
lsoa2011:South Cambridgeshire 010A,E01018231,900,1000
lsoa2011:South Cambridgeshire 010B,E01018232,400,400
lsoa2011:South Cambridgeshire 010C,E01018251,125,150
lsoa2011:South Cambridgeshire 010D,E01018252,250,250
lsoa2011:South Cambridgeshire 010E,E01018255,100,100
lsoa2011:South Cambridgeshire 011A,E01018242,75,75
lsoa2011:South Cambridgeshire 011B,E01018243,2500,2500
lsoa2011:South Cambridgeshire 011C,E01018244,900,900
lsoa2011:South Cambridgeshire 011D,E01018286,2500,2500
lsoa2011:South Cambridgeshire 011E,E01018287,75,75
lsoa2011:South Cambridgeshire 011F,E01018296,500,500
lsoa2011:South Cambridgeshire 012A,E01018292,700,700
lsoa2011:South Cambridgeshire 012B,E01018293,700,800
lsoa2011:South Cambridgeshire 012C,E01018294,900,900
lsoa2011:South Cambridgeshire 012D,E01018295,200,200
lsoa2011:South Cambridgeshire 013A,E01018245,300,350
lsoa2011:South Cambridgeshire 013B,E01018246,175,200
lsoa2011:South Cambridgeshire 013C,E01018247,700,700
lsoa2011:South Cambridgeshire 013D,E01018275,700,700
lsoa2011:South Cambridgeshire 014A,E01018240,400,500
lsoa2011:South Cambridgeshire 014B,E01018253,900,1000
lsoa2011:South Cambridgeshire 014C,E01018254,200,225
lsoa2011:South Cambridgeshire 014D,E01018256,300,350
lsoa2011:South Cambridgeshire 014E,E01018291,400,400
lsoa2011:South Cambridgeshire 015A,E01018279,300,350
lsoa2011:South Cambridgeshire 015B,E01018280,800,800
lsoa2011:South Cambridgeshire 015C,E01018281,100,125
lsoa2011:South Cambridgeshire 015D,E01018282,700,700
lsoa2011:South Cambridgeshire 015E,E01018283,700,700
lsoa2011:South Cambridgeshire 016A,E01018218,250,300
lsoa2011:South Cambridgeshire 016B,E01018219,200,200
lsoa2011:South Cambridgeshire 016C,E01018220,250,250
lsoa2011:South Cambridgeshire 016D,E01018263,1000,1000
lsoa2011:South Cambridgeshire 016E,E01018264,125,150
lsoa2011:South Cambridgeshire 016F,E01018265,300,300
lsoa2011:South Cambridgeshire 017A,E01018238,1250,1250
lsoa2011:South Cambridgeshire 017B,E01018239,400,450
lsoa2011:South Cambridgeshire 017C,E01018288,4500,4500
lsoa2011:South Cambridgeshire 017D,E01018289,5000,5000
lsoa2011:South Cambridgeshire 017E,E01018302,1250,1250
lsoa2011:South Cambridgeshire 017F,E01018303,600,700
lsoa2011:South Cambridgeshire 018A,E01018241,350,350
lsoa2011:South Cambridgeshire 018B,E01018267,1750,1750
lsoa2011:South Cambridgeshire 018C,E01018268,1500,1500
lsoa2011:South Cambridgeshire 018D,E01018269,75,75
lsoa2011:South Cambridgeshire 018E,E01018270,800,800
lsoa2011:South Cambridgeshire 018F,E01018271,500,500
lsoa2011:South Cambridgeshire 019A,E01018226,700,800
lsoa2011:South Cambridgeshire 019B,E01018227,125,150
lsoa2011:South Cambridgeshire 019C,E01018228,700,700
lsoa2011:South Cambridgeshire 019D,E01018290,450,500
lsoa2011:South Cambridgeshire 020A,E01033113,350,400
lsoa2011:South Cambridgeshire 020B,E01033114,2000,2000
lsoa2011:South Cambridgeshire 020C,E01033115,50,50
lsoa2011:South Cambridgeshire 020D,E01033117,800,800
lsoa2011:South Cambridgeshire 020E,E01033119,300,300
lsoa2011:South Cambridgeshire 021A,E01018276,2500,3000
lsoa2011:South Cambridgeshire 021B,E01018277,500,600
lsoa2011:South Cambridgeshire 021C,E01018278,600,600
lsoa2011:South Cambridgeshire 021D,E01033116,500,600
lsoa2011:South Cambridgeshire 021E,E01033118,300,300
lsoa2011:Bedford 001A,E01017540,400,400
lsoa2011:Bedford 001B,E01017541,200,225
lsoa2011:Bedford 001C,E01017544,450,450
lsoa2011:Bedford 001D,E01017545,1500,1500
lsoa2011:Bedford 002A,E01017464,200,225
lsoa2011:Bedford 002B,E01017465,225,250
lsoa2011:Bedford 002C,E01017503,600,600
lsoa2011:Bedford 002D,E01017504,300,350
lsoa2011:Bedford 002E,E01017546,225,250
lsoa2011:Bedford 002F,E01017547,300,350
lsoa2011:Bedford 003A,E01017478,1750,2000
lsoa2011:Bedford 003B,E01017479,450,500
lsoa2011:Bedford 003C,E01017480,500,500
lsoa2011:Bedford 003D,E01017481,50,50
lsoa2011:Bedford 003E,E01017528,700,700
lsoa2011:Bedford 004B,E01017495,400,450
lsoa2011:Bedford 004C,E01017496,350,450
lsoa2011:Bedford 004D,E01017542,2500,2500
lsoa2011:Bedford 004E,E01017543,800,900
lsoa2011:Bedford 004F,E01033431,175,175
lsoa2011:Bedford 004G,E01033432,400,450
